"파이썬에 대해 관심을 가지고 있습니다. 고객과 관련된 시장 DATA를 자동화(코딩 크롤링)하여, 시각화를 통한 정보 분석을 함으로써 영업 업무를 효율적으로 하고 싶어 신청하게 되었습니다. 또한, 확률 함수를 설정하여 미래 예측을 할 수 있도록 코딩을 활용하고 싶습니다(고객 수요 예측, 재고 소요관리 등)","고객 정보 DATA 수집, 수집한 DATA 시각화, 코딩을 활용한 확률 모형"
출하 물성 데이터 분석,파이썬을 활용한 데이터 분석
많은 raw데이터를 다루게 되며 의미있는 데이터 분석에 관심이 생겼습니다.,데이터분석능력함양 을 통한 업무효율 상승
"1. 불량률 집계 자동화 도입
2. 성적서 작성 자동화 도입
3. 품질 Data 분석 및 시각화
4. 검출기 Data 전처리 및 시각화
5. DT 준전문가 과정에서의 과제 보완",검사기 Data 활용성 증가
"인공지능, 빅데이터, Digital Transformation 등 전에 비해 데이터를 활용하여 인간이 해석할 수 있는 능력을 뛰어넘는 도구들이새로이 생기면서 세상의 변화가 빠르게 진행되고 있음을 느낍니다. 이 시점에서 이 변화에 적응할 수 있는 사람과 적응하지 못하는 사람과의 차이는 앞으로 점점 더 벌어질 것이라 생각됩니다. 따라서 매우 관심이 많아 신청합니다.","이 교육을 통해 데이터 활용 방법을 고도화하여, 현재 공정에서 쏟아지고 있는 데이터들을 우리가 좀 더 활용 가능한 형태 혹은 방법을 고안하여 공정을 더욱 안정화시키고 개선시킬 수 있는 능력 배양이 될 수 있으면 합니다."
"데이터 분석 역량을 강화하고자 합니다.
특히, 특허 데이터를 활용하여 자사 및 타사의 특허를 분석함으로써, 새로운 인사이트를 도출하고, 이를 바탕으로 자사의 특허 전략 수립에 기여할 수 있을 것으로 기대하여 지원하게 되었습니다.",이론 + 실습으로 진행되는 강의인 만큼 실무에서 적용할 수 있는 능력을 키울 수 있다는 점이 기대됩니다.
AI 기술 도입 시 발주 업무 활용을 위해,파이썬 프로그램 활용 및 실무 사용 항목들
"인사업무 전반 AI 및 DT 기술 접목
현재 인사업무 운영 방식이 인간에 의한 복잡한 확인과정이 많은데, 해당 과정을 DT화, 자동화하여 확인 및 수정작업에 들어가는 자원을 절감하고싶음. 절감된 자원은 인사기획 등으로 역량 집중.","데이터 정량화 방법, 신뢰성있는 데이터의 수집 및 처리.
데이터 처리의 자동화 및 현업 응용 방안."
안전환경 업무 관련 DATA를 활용한 업무 자동화 및 NDS담당자와 원활한 소통을 위함.,"DATA 분석 활용tool, 코딩 기초"
품질 관리를 위한 공정 데이터 분석 효율 및 정확도 향상과 분석 자동화를 위함입니다.,"파이썬 데이터 분석 교육을 통해 현 업무에 적용시킬 수 있는 부분을 고민하여, 적용시켜 나갈 수 있는 부분들을 배우고자 합니다."
파이썬을 활용한 효율적인 데이터 관리 목적으로 신청합니다.,실무에서 활용 가능한 내용 위주의 교육을 기대합니다.
AI를 이용한 데이터 분석을 통해 에너지 분석을 하기 위함.,데이터 분석을 활용하여 업무를 효율적으로 하고싶습니다.
파이썬을 통한 불량 상관관계를 확인해 보고 싶어요,파이썬 활용법
DT 전환의 흐름에 따른 실무자로서의 데이터 분석 능력 배양,"데이터 분석을 위한 전/후처리 코딩, 데이터 경향성 파악을 통한 공정 조건 최적화 코딩"
데이터 활용 및 분석 역량 강화를 통한 품질 불량 예방 및 개선,"반복 업무의 효율화를 위한 코딩 강의 
데이터 활용 및 분석에 대한 예시를 통한 실무 적용"
